Obs Loc Type BIO H2S SAL Eh7 pH   BUF  P      K       Ca      Mg      Na      Mn      Zn      Cu      NH4 
24  SI SHRT 236 -640 31 -314 3.20 8.14 97.695 661.32 1747.56 3060.10 13009.5 57.8526 24.6917 3.92552 211.050
25  SI SHRT 340 -630 35 -332 3.35 7.44 99.169 672.15 1526.85 2696.80 15003.7 45.0128 22.6758 4.23913 185.454
26  SI TALL 2436 -620 29 -338 7.10 -0.42 3.718 528.65 6857.39 1778.77 10225.0 16.4856 0.3729 3.41143 16.497
27  SI TALL 2216 -620 35 -268 7.35 -1.04 2.703 563.13 7178.00 1837.54 8024.2 11.4075 0.2703 3.43998 13.655
28  SI TALL 2096 -570 35 -300 7.45 -1.12 2.633 497.96 6934.67 1586.49 10393.0 7.9561 0.3205 3.29673 17.627
29  SI TALL 1660 -620 30 -328 7.45 -0.86 3.148 458.38 6911.54 1483.41 8711.6 10.4945 0.2648 3.11813 15.291
30  SI TALL 2272 -570 30 -374 7.4 -0.90 2.626 498.25 6839.54 1631.32 10239.6 9.4637 0.2105 2.79145 14.750
31  SM DVEG 824 -620 26 -336 4.85 3.72 16.715 936.26 1564.84 3828.75 20436.0 10.3375 18.9875 5.76402 95.721
32  SM DVEG 1196 -630 29 -342 4.60 4.90 16.377 894.79 1644.37 3486.84 12519.9 21.6672 20.9687 5.36276 86.955
33  SM DVEG 1960 -630 25 -328 5.20 2.78 21.593 941.36 1811.00 3517.16 18979.0 13.0967 23.9841 5.48042 83.935
34  SM DVEG 2080 -630 26 -332 4.75 3.90 18.030 1038.79 1706.36 4096.67 22986.1 15.6061 19.9727 5.27273 104.439
35  SM DVEG 1764 -610 26 -322 5.20 3.60 34.693 898.05 1642.51 3593.05 11704.5 6.9786 21.3864 5.71123 79.773
36  SM SHRT 412 -640 25 -290 4.55 3.58 28.956 989.87 2171.35 3553.17 17721.0 57.5856 23.7063 3.68392 118.178
37  SM SHRT 416 -610 26 -352 3.95 5.58 25.741 951.28 1767.63 3359.17 16485.2 72.5160 30.5589 3.91827 123.538
38  SM SHRT 504 -600 26 -280 3.70 6.58 25.366 939.83 1654.63 3545.32 17101.3 64.4146 26.8415 4.06829 135.268
39  SM SHRT 492 -620 27 -290 3.75 6.80 17.917 925.42 1620.83 3467.92 17849.0 53.9583 27.7292 3.89583 115.417
40  SM SHRT 636 -590 27 -328 4.15 5.30 20.259 954.11 1446.30 3170.65 16949.6 22.6657 21.5699 4.70368 108.406
41  SM TALL 1756 -560 24 -332 5.60 1.22 134.426 720.72 2576.08 2467.52 11344.6 51.9258 19.6531 4.11065 57.315
42  SM TALL 1232 -550 27 -276 5.35 1.82 35.909 782.09 2659.36 2772.99 14752.4 75.1471 20.3295 4.09826 77.193
43  SM TALL 1400 -550 26 -282 5.50 1.60 38.719 773.30 2093.57 2665.02 13649.8 71.0254 19.5880 4.31487 68.294
44  SM TALL 1620 -540 28 -370 5.50 1.26 33.562 829.26 2834.25 2991.99 14533.0 70.1465 20.1328 6.09432 71.337
45  SM TALL 1560 -570 28 -290 5.40 1.56 36.346 856.96 3459.26 3059.73 16892.2 89.2593 19.2420 4.87407 79.383
